marque,annee,prix_de_vente,kilometrage,carburant,type_vendeur,transmission,proprietaire,consommation,moteur,puissance,nb_sieges
Toyota,14,3995,82000,Essence,Individuel,Manuel,Deuxième,14.53,1798,138.0,5.0
Toyota,8,23500,20000,Diesel,Individuel,Manuel,Premier,12.55,2982,168.5,7.0
Hyundai,13,3760,70000,Diesel,Individuel,Manuel,Deuxième,16.2,1493,110.0,5.0
Ford,12,1821,80000,Diesel,Individuel,Manuel,Troisième,20.0,1399,68.0,5.0
Volkswagen,4,6874,10000,Essence,Individuel,Manuel,Premier,18.78,999,75.0,5.0
Chevrolet,11,2056,56365,Diesel,Concessionnaire,Manuel,Premier,25.44,936,56.3,5.0
Hyundai,8,10340,120000,Diesel,Individuel,Manuel,Deuxième,19.67,1582,126.2,5.0
Hyundai,8,6463,40000,Diesel,Individuel,Manuel,Premier,22.54,1396,88.73,5.0
Mahindra,12,5581,108000,Diesel,Concessionnaire,Manuel,Premier,16.0,2179,140.0,7.0
Maruti,6,8813,110000,Diesel,Individuel,Manuel,Deuxième,28.4,1248,74.02,5.0
Chevrolet,10,4935,46815,Diesel,Individuel,Manuel,Deuxième,22.1,1248,76.9,5.0
Tata,6,7050,40000,Essence,Individuel,Manuel,Deuxième,20.3,1199,84.0,5.0
Maruti,6,8636,70000,Diesel,Individuel,Manuel,Premier,27.39,1248,74.0,5.0
Hyundai,9,4700,147000,Essence,Individuel,Manuel,Deuxième,18.6,1197,81.83,5.0
Mahindra,6,12925,88754,Diesel,Concessionnaire,Manuel,Premier,16.0,2179,140.0,7.0
Mahindra,6,12338,90000,Diesel,Individuel,Manuel,Premier,15.4,2179,120.0,7.0
Renault,7,3701,60000,Essence,Individuel,Manuel,Deuxième,23.01,999,67.0,5.0
Maruti,12,3819,58000,Essence,Individuel,Manuel,Troisième,16.1,1298,88.2,5.0
Toyota,6,7344,25538,Essence,Autre connexion,Manuel,Premier,16.78,1496,88.73,5.0
Jaguar,6,37600,45000,Diesel,Concessionnaire,Automatique,Premier,19.33,1999,177.0,5.0
Honda,18,3349,80000,Essence,Individuel,Automatique,Deuxième,9.0,2997,218.0,5.0
